PrimaryKey,Sire,Dam,Sex,Color,Year,Details,URL,Horse Name,Generation,LoadURL,,,
american+family+eleven,,,M,,,"AMERICAN FAMILY ELEVEN M, {A11} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+eleven,AMERICAN FAMILY ELEVEN,0,True,,,
american+family+fifty+one,,,M,,,"AMERICAN FAMILY FIFTY ONE M, {a51} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+fifty+one,AMERICAN FAMILY FIFTY ONE,0,TRUE,1,,
american+family+one,,,M,,,"AMERICAN FAMILY ONE M, {A1} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+one,AMERICAN FAMILY ONE,0,TRUE,1,,
american+family+seventeen,,,M,,,"AMERICAN FAMILY SEVENTEEN M, {A17} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+seventeen,AMERICAN FAMILY SEVENTEEN,0,TRUE,1,,
american+family+sixteen,,,M,,,"AMERICAN FAMILY SIXTEEN M, {A16} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+sixteen,AMERICAN FAMILY SIXTEEN,0,True,,,
american+family+ten,,,M,,,"AMERICAN FAMILY TEN M, {A10} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+ten,AMERICAN FAMILY TEN,0,TRUE,1,,
american+family+thirty+one,,,M,,,"AMERICAN FAMILY THIRTY ONE M, {A31} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+thirty+one,AMERICAN FAMILY THIRTY ONE,0,True,,,
american+family+twenty+one,,,M,,,"AMERICAN FAMILY TWENTY ONE M, {A21} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/american+family+twenty+one,AMERICAN FAMILY TWENTY ONE,0,True,,,
arab+mare4,,colonial+family+thirty+one,M,,,"ARAB MARE (AUS) M, {C31} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/arab+mare4,ARAB MARE (AUS),0,True,,,
colonial+family+nineteen,,,M,,,"COLONIAL FAMILY NINETEEN M, {C19} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+nineteen,COLONIAL FAMILY NINETEEN,0,True,,,
colonial+family+one,,,M,,,"COLONIAL FAMILY ONE M, {C1} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+one,COLONIAL FAMILY ONE,0,True,,,
colonial+family+seventeen,,,M,,,"COLONIAL FAMILY SEVENTEEN M, {C17} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+seventeen,COLONIAL FAMILY SEVENTEEN,0,True,,,
colonial+family+ten,,,M,,,"COLONIAL FAMILY TEN M, {C10} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+ten,COLONIAL FAMILY TEN,0,True,,,
colonial+family+thirty+one,,,M,,,"COLONIAL FAMILY THIRTY ONE M, {C31} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+thirty+one,COLONIAL FAMILY THIRTY ONE,0,True,,,
eagle+mare4,eagle3,maria25,M,,,"EAGLE MARE  (USA) M, {a51} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/eagle+mare4,EAGLE MARE  (USA),0,True,,,
family+number+eighteen,,,M,,,"FAMILY NUMBER EIGHTEEN M, {18} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+eighteen,FAMILY NUMBER EIGHTEEN,0,TRUE,1,,
family+number+fifteen,,,M,,,"FAMILY NUMBER FIFTEEN M, {15} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifteen,FAMILY NUMBER FIFTEEN,0,TRUE,1,,
family+number+forty+one,,,M,,,"FAMILY NUMBER FORTY ONE M, {41} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+forty+one,FAMILY NUMBER FORTY ONE,0,TRUE,1,,
family+number+fourteen,,,M,,,"FAMILY NUMBER FOURTEEN M, {14} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fourteen,FAMILY NUMBER FOURTEEN,0,TRUE,1,,
family+number+nineteen,,,M,,,"FAMILY NUMBER NINETEEN M, {19} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+nineteen,FAMILY NUMBER NINETEEN,0,TRUE,1,,
family+number+seventeen,,,M,,,"FAMILY NUMBER SEVENTEEN M, {17} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seventeen,FAMILY NUMBER SEVENTEEN,0,TRUE,1,,
family+number+seventy+one,,,M,,,"FAMILY NUMBER SEVENTY ONE M, {71} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seventy+one,FAMILY NUMBER SEVENTY ONE,0,TRUE,1,,
family+number+sixty+one,,,M,,,"FAMILY NUMBER SIXTY ONE M, {61} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+sixty+one,FAMILY NUMBER SIXTY ONE,0,TRUE,1,,
family+number+ten,,,M,,,"FAMILY NUMBER TEN M, {10} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+ten,FAMILY NUMBER TEN,0,TRUE,1,,
family+number+thirteen,,,M,,,"FAMILY NUMBER THIRTEEN M, {13} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+thirteen,FAMILY NUMBER THIRTEEN,0,TRUE,1,,
family+number+thirty+one,,,M,,,"FAMILY NUMBER THIRTY ONE M, {31} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+thirty+one,FAMILY NUMBER THIRTY ONE,0,TRUE,1,,
family+number+twelve,,,M,,,"FAMILY NUMBER TWELVE M, {12} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+twelve,FAMILY NUMBER TWELVE,0,TRUE,1,,
family+number+twenty+one,,,M,,,"FAMILY NUMBER TWENTY ONE M, {21} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+twenty+one,FAMILY NUMBER TWENTY ONE,0,TRUE,1,,
madam+bosley,sir+richard+tonson,nancy+nichol,M,gr,,"MADAM BOSLEY (USA) gr. M, {A10} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/madam+bosley,MADAM BOSLEY (USA),0,TRUE,1,,
pindella,monmouth+eclipse,kitty+cade,M,ch,,"PINDELLA  (USA) ch. M, {A31} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/pindella,PINDELLA  (USA),0,True,,,
young+empress2,financier,empress6,M,gr,,"YOUNG EMPRESS  (USA) gr. M, {41} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/young+empress2,YOUNG EMPRESS  (USA),0,True,,,
family+number+fifty+one,,,M,,,"FAMILY NUMBER FIFTY ONE M, {51} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifty+one,FAMILY NUMBER FIFTY ONE,0,True,,,
adelaide6,theorem,bay+camerton+mare4,M,,,ADELAIDE (AUS) ,https://www.pedigreequery.com/adelaide6,ADELAIDE (AUS),1,,,,
aether+mare,aether,colonial+family+twenty,M,,,"AETHER MARE M, {C20} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/aether+mare,AETHER MARE,0,True,,,
albert+mare,albert2,algerine+mare,M,blk,,"ALBERT MARE  (USA) blk. M, {A6} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/albert+mare,ALBERT MARE  (USA),0,TRUE,1,,
